servicio,paradero,tiempo_promedio,geo_parader,geo_parader_lat,geo_parader_lon,calificacion,zona_h,zona_h_num,seccion
104I,PD70,164.87142857142857,0101000020E6100000FBFF234564A651C04125B4371BBF40C0,-33.4930181150071,-70.5998700000345,2,Bajo,3,S2
104I,PD71,191.77966101694915,0101000020E6100000D065B6114FA651C022200D6B87BF40C0,-33.4963201345529,-70.5985760003307,2,Bajo,3,S2
104I,PD72,222.1764705882353,0101000020E6100000692884CB31A651C0F44C8FAED7BF40C0,-33.4987695884428,-70.5967892447094,2,Bajo,3,S2
104I,PD73,205.87272727272727,0101000020E6100000847BDBE518A651C0DC2A645A1AC040C0,-33.5008042325114,-70.5952696460136,2,Bajo,3,S2
104I,PD74,180.5,0101000020E6100000D159C148E0A551C02AF16BF0B3C040C0,-33.5054913069783,-70.5918142212097,2,Bajo,3,S2
104I,PD75,154.96,0101000020E6100000A31ABD50C0A551C024DBEA290FC140C0,-33.5082752606161,-70.5898629996032,2,Bajo,3,S2
104I,PD76,451.39130434782606,0101000020E6100000F8CF48055EA651C040C9099E55B940C0,-33.4479253337654,-70.5994885645922,2,Bajo,3,S2
104I,PD77,,0101000020E61000008AAE6A166EA651C0636DC3BDAAB940C0,-33.4505231098399,-70.6004692117514,0,Bajo,3,S2
104I,PD78,,0101000020E61000009C92030B68A651C0FEA91E2220BA40C0,-33.4541056298949,-70.6001002821817,0,Bajo,3,S2
104I,PD79,,0101000020E61000005A90E7E661A651C07C8998CB61BA40C0,-33.4561094755945,-70.5997254620901,0,Bajo,3,S2
104I,PD80,,0101000020E6100000F510073766A651C07496136DB0BA40C0,-33.4585090966838,-70.5999887055403,0,Bajo,3,S2
104I,PD81,,0101000020E610000034BC621A69A651C03DCD110915BB40C0,-33.4615794503138,-70.6001649822436,0,Bajo,3,S2
104I,PD82,,0101000020E6100000D0BC21396BA651C02A60B6C96DBB40C0,-33.4642879620081,-70.6002943829983,0,Bajo,3,S2
104I,PD83,,0101000020E610000027FD895B6DA651C04275C47FB9BB40C0,-33.4665984830158,-70.6004246566341,0,Bajo,3,S2
104I,PD84,6869.0,0101000020E61000009A910B7558A651C0C895BDDD0BBC40C0,-33.4691121268948,-70.599148999498,0,Bajo,3,S2
104I,PE10,146.9873417721519,0101000020E6100000F9C3CEF412A551C08AAF845ACEC240C0,-33.5219224117164,-70.5792819995112,2,Bajo,3,S2
104I,PE11,184.8709677419355,0101000020E61000009B1A53ADF9A451C019CD425F43C340C0,-33.5254935337236,-70.577739077717,2,Bajo,3,S2
104I,PE12,154.14666666666668,0101000020E61000004A3283A3E4A451C07BC52BBDA5C340C0,-33.528495451329,-70.5764550000396,2,Bajo,3,S2
104I,PE13,193.91525423728814,0101000020E61000005A22AA9ECCA451C0826BCC9F18C440C0,-33.5320014713425,-70.5749890004603,2,Bajo,3,S2
104I,PE14,160.88732394366198,0101000020E61000005857FE40B9A451C08C9C5F8B87C440C0,-33.5353864876607,-70.573806999569,2,Bajo,3,S2
104I,PE15,152.33802816901408,0101000020E6100000737F44DC9CA451C028E365A60AC540C0,-33.5393875119683,-70.572074000256,2,Bajo,3,S2
104I,PE16,152.13333333333333,0101000020E6100000C9A0642680A451C06F4F7A1E8EC540C0,-33.5433996293276,-70.5703216536232,2,Bajo,3,S2
104I,PE17,149.1578947368421,0101000020E61000002668D32B65A451C09D4B01E608C640C0,-33.5471465593648,-70.5686749996681,2,Bajo,3,S2
104I,PE18,169.69230769230768,0101000020E61000002DB2A8E341A451C0FC22DD3366C640C0,-33.5499939756173,-70.5665215632841,2,Bajo,3,S2
104I,PE19,171.1846153846154,0101000020E6100000E2295DA626A451C0EDBAD8CEA8C640C0,-33.5520266111615,-70.564859000187,2,Bajo,3,S2
104I,PE20,244.06666666666666,0101000020E61000003A537E6DFDA351C0A0C9AC9B05C740C0,-33.554858645791,-70.5623429998058,2,Bajo,3,S2
104I,PE21,225.34,0101000020E6100000EC531553E9A351C01523BBC236C740C0,-33.5563586629634,-70.5611160000114,2,Bajo,3,S2
104I,PE22,142.15189873417722,0101000020E6100000A14C5D14C9A351C0618C26D58AC740C0,-33.5589243353104,-70.5591479216696,2,Bajo,3,S2
104I,PE7,176.703125,0101000020E61000005B747F6378A551C0DDABEFB7D2C140C0,-33.5142431183119,-70.5854729408906,2,Bajo,3,S2
104I,PE8,176.5,0101000020E61000000894A5DA5EA551C0E8D5E70C17C240C0,-33.5163284427652,-70.5839144341445,2,Bajo,3,S2
104I,PE9,152.85526315789474,0101000020E6100000EA77EEAD48A551C09A46603A50C240C0,-33.5180733652207,-70.5825609997552,2,Bajo,3,S2
104I,PF1,115.5050505050505,0101000020E610000068BE2FF99FA351C0C3ECC738E1C740C0,-33.5615607238956,-70.5566390005348,2,Bajo,3,S2
104I,PF2,175.5,0101000020E61000005D7A66118AA351C0C44424FF2FC840C0,-33.5639647414296,-70.5553020001184,2,Bajo,3,S2
104I,PF3,154.29166666666666,0101000020E61000007800FD3383A351C03F86F5CCD9C840C0,-33.5691467474794,-70.5548830004426,2,Bajo,3,S2
104I,PF4,163.28571428571428,0101000020E61000009AB56F7B82A351C0D0855EB579C940C0,-33.5740267478501,-70.5548389998352,2,Bajo,3,S2
